repository,createdAt,age,pullRequests,releases,updatedAt,daysSinceUpdate,primaryLanguage,closedIssues,totalIssues,issuesRatio
ipfs/ipfs,2014-02-11 07:28:24,3292,126,0,2023-02-16 10:44:17,4:12:42.030907,none,210,216,0.9722222222222222
google/gson,2015-03-19 18:21:20,2890,433,6,2023-02-16 08:09:18,6:47:41.030907,Java,1222,1510,0.8092715231788079
discordjs/discord.js,2015-08-10 13:36:26,2747,3768,142,2023-02-16 13:39:53,1:17:06.030907,JavaScript,3481,3567,0.9758901037286235
qier222/YesPlayMusic,2020-10-09 10:04:21,860,245,25,2023-02-16 14:52:34,0:04:25.030907,Vue,1089,1475,0.7383050847457627
schollz/croc,2017-10-17 15:20:18,1947,146,137,2023-02-16 12:11:27,2:45:32.030907,Go,264,355,0.7436619718309859
localForage/localForage,2013-10-31 00:10:06,3395,268,26,2023-02-16 13:04:20,1:52:39.030907,JavaScript,494,694,0.7118155619596542
SwiftyJSON/SwiftyJSON,2014-06-18 14:41:15,3165,218,21,2023-02-16 14:32:35,0:24:24.030907,Swift,583,690,0.8449275362318841
Igglybuff/awesome-piracy,2018-10-09 22:09:56,1590,182,0,2023-02-16 06:14:36,8:42:23.030907,HTML,138,297,0.46464646464646464
kriasoft/react-starter-kit,2014-04-16 13:08:18,3228,525,5,2023-02-16 14:24:35,0:32:24.030907,TypeScript,1182,1183,0.9991546914623838
google/iosched,2014-04-01 22:40:40,3242,66,2,2023-02-16 12:27:12,2:29:47.030907,Kotlin,187,242,0.7727272727272727
pbatard/rufus,2011-11-19 19:12:05,4106,0,73,2023-02-16 12:34:15,2:22:44.030907,C,1952,1964,0.9938900203665988
wangzheng0822/algo,2018-09-24 05:33:46,1606,321,0,2023-02-16 13:25:48,1:31:11.030907,Python,22,122,0.18032786885245902
felixrieseberg/windows95,2018-08-23 05:04:38,1638,19,14,2023-02-16 13:44:50,1:12:09.030907,TypeScript,105,230,0.45652173913043476
conwnet/github1s,2019-06-16 09:55:25,1341,256,34,2023-02-16 09:16:29,5:40:30.030907,TypeScript,142,197,0.7208121827411168
deezer/spleeter,2019-09-26 15:40:46,1238,48,2,2023-02-16 14:28:51,0:28:08.030907,Python,549,716,0.7667597765363129
codex-team/editor.js,2015-11-28 20:56:35,2636,711,42,2023-02-16 14:22:14,0:34:45.030907,TypeScript,774,1203,0.6433915211970075
homebridge/homebridge,2014-12-01 16:37:39,2998,299,33,2023-02-16 11:23:48,3:33:11.030907,TypeScript,2873,2894,0.992743607463718
Lightning-AI/lightning,2019-03-31 00:45:57,1418,7077,125,2023-02-16 12:42:16,2:14:43.030907,Python,5259,5834,0.9014398354473775
Awesome-Windows/Awesome,2016-05-30 17:27:35,2452,206,0,2023-02-16 14:16:53,0:40:06.030907,none,75,118,0.635593220338983
nextcloud/server,2016-06-02 07:44:14,2450,17506,97,2023-02-16 10:59:23,3:57:36.030907,PHP,13068,15399,0.8486265341905318
marmelab/react-admin,2016-07-13 07:58:54,2409,3841,275,2023-02-16 12:29:48,2:27:11.030907,TypeScript,3963,4049,0.9787601877006669
withfig/autocomplete,2020-09-29 02:21:06,870,1188,1291,2023-02-16 14:57:01,"-1 day, 23:59:58.030907",TypeScript,344,461,0.7462039045553145
react-bootstrap/react-bootstrap,2013-12-27 19:06:07,3337,2561,49,2023-02-16 03:55:00,11:01:59.030907,TypeScript,3248,3389,0.9583948067276483
mpv-player/mpv,2012-10-13 08:08:44,3778,1453,82,2023-02-16 14:28:43,0:28:16.030907,C,7366,8176,0.9009295499021527
DrKLO/Telegram,2013-10-25 14:08:10,3401,20,79,2023-02-16 14:44:07,0:12:52.030907,Java,0,0,0
RedisInsight/RedisDesktopManager,2013-08-05 07:51:08,3482,423,87,2023-02-16 11:15:14,3:41:45.030907,C++,4493,4536,0.9905202821869489
envoyproxy/envoy,2016-08-08 15:07:24,2382,13850,102,2023-02-16 13:44:44,1:12:15.030907,C++,7438,8726,0.8523951409580564
MichaelCade/90DaysOfDevOps,2021-12-26 13:55:18,417,207,2,2023-02-16 14:56:20,0:00:39.030907,Shell,56,61,0.9180327868852459
OpenZeppelin/openzeppelin-contracts,2016-08-01 20:54:54,2389,1630,71,2023-02-16 10:42:56,4:14:03.030907,JavaScript,1443,1582,0.9121365360303414
bevacqua/dragula,2015-04-13 21:35:38,2865,57,0,2023-02-16 02:33:38,12:23:21.030907,JavaScript,407,513,0.7933723196881092
pmndrs/react-three-fiber,2019-02-25 14:31:51,1452,466,47,2023-02-16 14:50:27,0:06:32.030907,TypeScript,772,806,0.9578163771712159
geekan/HowToLiveLonger,2022-04-16 04:15:18,306,9,0,2023-02-16 14:56:05,0:00:54.030907,none,35,111,0.3153153153153153
tmrts/go-patterns,2015-12-14 22:05:06,2620,10,0,2023-02-16 13:02:25,1:54:34.030907,Go,13,28,0.4642857142857143
github/copilot-docs,2021-10-23 16:07:04,480,9,0,2023-02-16 10:26:28,4:30:31.030907,none,0,0,0
wsargent/docker-cheat-sheet,2014-08-05 20:04:20,3116,134,0,2023-02-16 13:30:24,1:26:35.030907,none,22,27,0.8148148148148148
trpc/trpc,2020-07-18 01:17:11,943,2213,134,2023-02-16 14:41:32,0:15:27.030907,TypeScript,571,631,0.9049128367670365
chenglou/react-motion,2015-06-11 07:38:23,2807,144,4,2023-02-15 08:17:40,"1 day, 6:39:19.030907",JavaScript,249,397,0.6272040302267002
docker/awesome-compose,2020-02-13 08:51:42,1099,148,0,2023-02-16 14:18:35,0:38:24.030907,HTML,30,73,0.410958904109589
lutzroeder/netron,2010-12-26 12:53:43,4435,1,2,2023-02-16 14:04:50,0:52:09.030907,JavaScript,883,905,0.9756906077348066
sebastianruder/NLP-progress,2018-06-22 17:43:55,1699,467,3,2023-02-16 12:36:43,2:20:16.030907,Python,65,98,0.6632653061224489
jlmakes/scrollreveal,2014-01-16 17:37:20,3317,32,0,2023-02-16 14:57:28,"-1 day, 23:59:31.030907",JavaScript,451,475,0.9494736842105264
goldfire/howler.js,2013-01-28 16:47:12,3670,127,24,2023-02-16 10:53:48,4:03:11.030907,JavaScript,1042,1336,0.7799401197604791
elixir-lang/elixir,2011-01-09 08:43:57,4421,6237,127,2023-02-16 05:43:16,9:13:43.030907,Elixir,4878,4896,0.9963235294117647
1c7/chinese-independent-developer,2017-09-21 11:08:23,1974,143,0,2023-02-16 14:54:37,0:02:22.030907,none,69,71,0.971830985915493
apache/skywalking,2015-11-07 03:30:36,2658,3987,54,2023-02-16 13:33:48,1:23:11.030907,Java,4583,4646,0.9864399483426604
HeroTransitions/Hero,2016-11-24 18:49:37,2274,117,38,2023-02-16 14:23:00,0:33:59.030907,Swift,565,597,0.9463986599664992
vuejs/vuepress,2018-04-05 16:58:38,1777,771,21,2023-02-16 12:44:26,2:12:33.030907,JavaScript,1413,1896,0.745253164556962
jaredhanson/passport,2011-10-08 22:38:32,4148,51,0,2023-02-16 13:30:56,1:26:03.030907,JavaScript,415,739,0.5615696887686062
pocketbase/pocketbase,2022-07-05 06:06:21,226,35,57,2023-02-16 14:41:29,0:15:30.030907,Go,499,536,0.9309701492537313
pugjs/pug,2010-06-23 01:05:42,4621,501,22,2023-02-16 12:06:01,2:50:58.030907,JavaScript,2265,2542,0.8910306845003934
DesignPatternsPHP/DesignPatternsPHP,2011-08-22 05:24:31,4196,278,0,2023-02-16 08:19:19,6:37:40.030907,PHP,111,112,0.9910714285714286
nothings/stb,2014-05-25 16:51:23,3188,278,0,2023-02-16 14:55:00,0:01:59.030907,C,638,724,0.8812154696132597
libgdx/libgdx,2012-08-10 19:34:38,3841,2487,9,2023-02-16 12:49:05,2:07:54.030907,Java,3379,3583,0.9430644711135919
tachiyomiorg/tachiyomi,2015-10-07 09:51:12,2689,1664,73,2023-02-16 14:23:51,0:33:08.030907,Kotlin,6431,6875,0.9354181818181818
telegramdesktop/tdesktop,2014-05-02 12:36:31,3212,1178,610,2023-02-16 14:43:50,0:13:09.030907,C++,11462,12200,0.9395081967213115
google/mediapipe,2019-06-13 19:16:41,1343,30,41,2023-02-16 14:34:54,0:22:05.030907,C++,3427,3845,0.8912873862158648
dracula/dracula-theme,2013-10-27 12:39:02,3399,84,24,2023-02-16 10:27:09,4:29:50.030907,none,557,595,0.9361344537815126
ruanyf/es6tutorial,2014-04-20 13:06:28,3224,366,0,2023-02-16 12:06:17,2:50:42.030907,JavaScript,548,548,1.0
dapr/dapr,2019-06-19 00:49:06,1338,2538,151,2023-02-16 11:20:46,3:36:13.030907,Go,2353,2686,0.87602382725242
logseq/logseq,2020-05-23 00:06:06,999,2154,116,2023-02-16 14:53:34,0:03:25.030907,Clojure,4347,5783,0.7516859761369531
MustangYM/WeChatExtension-ForMac,2019-04-25 03:02:16,1393,45,48,2023-02-16 10:36:14,4:20:45.030907,Objective-C,848,1658,0.51145958986731
Meituan-Dianping/mpvue,2018-03-07 03:09:25,1807,64,19,2023-02-16 14:34:52,0:22:07.030907,JavaScript,1264,1687,0.7492590397154713
google/ExoPlayer,2014-06-13 21:19:18,3169,542,21,2023-02-16 14:35:57,0:21:02.030907,Java,9057,9772,0.9268317642243143
js-cookie/js-cookie,2015-03-19 15:57:47,2890,69,34,2023-02-16 08:26:53,6:30:06.030907,JavaScript,523,524,0.9980916030534351
JohnCoates/Aerial,2015-10-26 21:21:31,2669,217,190,2023-02-16 12:06:07,2:50:52.030907,Swift,928,986,0.9411764705882353
refined-github/refined-github,2016-02-15 16:45:02,2557,2517,101,2023-02-16 11:26:48,3:30:11.030907,TypeScript,3189,3308,0.9640266021765417
jhipster/generator-jhipster,2013-10-21 20:07:22,3404,12450,25,2023-02-16 11:43:07,3:13:52.030907,TypeScript,6977,7235,0.9643400138217001
WeNeedHome/SummaryOfLoanSuspension,2022-07-12 16:33:25,218,279,0,2023-02-16 09:04:02,5:52:57.030907,HTML,0,0,0
shieldfy/API-Security-Checklist,2017-07-08 20:01:38,2048,111,0,2023-02-16 14:58:01,"-1 day, 23:58:58.030907",none,28,39,0.717948717948718
camsong/You-Dont-Need-jQuery,2015-11-21 16:02:26,2643,165,1,2023-02-16 12:59:38,1:57:21.030907,JavaScript,66,68,0.9705882352941176
jenkinsci/jenkins,2010-11-22 21:21:23,4468,5776,239,2023-02-16 07:30:04,7:26:55.030907,Java,0,0,0
aseprite/aseprite,2014-08-19 23:44:50,3102,168,85,2023-02-16 12:55:04,2:01:55.030907,C++,1885,3189,0.5910943869551584
bazelbuild/bazel,2014-06-12 16:00:38,3170,389,191,2023-02-16 13:01:48,1:55:11.030907,Java,8662,10811,0.8012209786328739
rxhanson/Rectangle,2019-06-21 21:34:53,1335,181,69,2023-02-16 14:45:10,0:11:49.030907,Swift,413,473,0.8731501057082452
ChristosChristofidis/awesome-deep-learning,2015-01-02 19:28:35,2966,165,0,2023-02-16 13:15:26,1:41:33.030907,none,14,18,0.7777777777777778
electron-react-boilerplate/electron-react-boilerplate,2015-05-18 09:54:57,2831,793,58,2023-02-16 13:53:10,1:03:49.030907,TypeScript,1754,1783,0.9837352776219854
youzan/vant,2017-04-19 07:55:31,2129,4455,219,2023-02-16 09:51:16,5:05:43.030907,TypeScript,6558,6592,0.9948422330097088
taosdata/TDengine,2019-07-11 08:33:48,1316,14943,88,2023-02-16 09:09:54,5:47:05.030907,C,2837,3645,0.7783264746227709
postcss/autoprefixer,2013-03-14 05:04:51,3626,272,192,2023-02-16 11:36:11,3:20:48.030907,JavaScript,1098,1132,0.9699646643109541
notable/notable,2018-12-22 13:57:19,1517,25,20,2023-02-16 14:38:37,0:18:22.030907,TypeScript,899,1562,0.5755441741357235
v8/v8,2014-09-24 15:24:30,3066,0,0,2023-02-16 14:45:42,0:11:17.030907,C++,0,0,0
tsenart/vegeta,2013-08-13 11:45:21,3474,132,63,2023-02-16 13:56:52,1:00:07.030907,Go,304,388,0.7835051546391752
backstage/backstage,2020-01-24 22:39:49,1118,10267,219,2023-02-16 14:32:46,0:24:13.030907,TypeScript,3438,3797,0.905451672372926
freqtrade/freqtrade,2017-05-17 23:48:53,2100,3999,67,2023-02-16 14:32:04,0:24:55.030907,Python,3546,3591,0.9874686716791979
ossrs/srs,2015-04-29 06:59:32,2850,310,40,2023-02-16 14:32:02,0:24:57.030907,C++,1008,1157,0.8712186689714779
gfwlist/gfwlist,2015-03-13 13:24:56,2897,0,0,2023-02-16 12:29:58,2:27:01.030907,none,1915,2326,0.8233018056749785
v2fly/v2ray-core,2019-04-15 10:05:54,1403,647,64,2023-02-16 13:48:35,1:08:24.030907,Go,656,709,0.92524682651622
ogham/exa,2014-05-22 12:45:16,3192,223,12,2023-02-16 13:25:07,1:31:52.030907,Rust,579,826,0.7009685230024213
julycoding/The-Art-Of-Programming-By-July-2nd,2013-12-14 10:00:06,3351,254,0,2023-02-16 11:11:53,3:45:06.030907,C,83,130,0.6384615384615384
MonitorControl/MonitorControl,2017-09-16 21:13:40,1978,180,23,2023-02-16 14:44:35,0:12:24.030907,Swift,685,749,0.9145527369826435
penpot/penpot,2015-12-29 22:09:07,2605,1632,29,2023-02-16 14:53:08,0:03:51.030907,Clojure,714,956,0.7468619246861925
SwiftGGTeam/the-swift-programming-language-in-chinese,2014-06-03 04:44:09,3180,700,1,2023-02-16 09:36:54,5:20:05.030907,CSS,397,406,0.9778325123152709
goldbergyoni/javascript-testing-best-practices,2019-07-04 11:08:12,1323,146,0,2023-02-16 14:53:57,0:03:02.030907,JavaScript,14,58,0.2413793103448276
academic/awesome-datascience,2014-07-05 07:07:43,3148,308,2,2023-02-16 14:51:40,0:05:19.030907,none,47,47,1.0
ColorlibHQ/gentelella,2015-05-15 06:57:27,2834,164,7,2023-02-15 02:08:14,"1 day, 12:48:45.030907",HTML,609,643,0.9471228615863142
TanStack/table,2016-10-20 17:25:08,2309,659,188,2023-02-16 13:56:19,1:00:40.030907,TypeScript,2133,2197,0.9708693673190715
firecracker-microvm/firecracker,2017-10-19 06:18:47,1946,1767,59,2023-02-16 13:48:29,1:08:30.030907,Rust,1185,1304,0.9087423312883436
locustio/locust,2011-02-17 11:08:03,4382,624,90,2023-02-16 13:00:14,1:56:45.030907,Python,1405,1408,0.9978693181818182
microsoft/api-guidelines,2016-07-12 20:01:24,2409,156,0,2023-02-16 11:18:48,3:38:11.030907,none,92,182,0.5054945054945055
apache/flink,2014-06-07 07:00:10,3176,7239,0,2023-02-16 13:34:04,1:22:55.030907,Java,0,0,0
mxgmn/WaveFunctionCollapse,2016-09-30 11:53:17,2330,18,1,2023-02-16 12:34:31,2:22:28.030907,C#,46,47,0.9787234042553191
lensapp/lens,2018-11-12 06:28:56,1557,3535,235,2023-02-16 14:49:13,0:07:46.030907,TypeScript,2236,3077,0.7266818329541761
FallibleInc/security-guide-for-developers,2016-06-08 15:56:25,2443,26,0,2023-02-16 09:39:12,5:17:47.030907,none,4,12,0.3333333333333333
git-tips/tips,2015-07-15 07:24:48,2773,138,0,2023-02-16 09:23:13,5:33:46.030907,JavaScript,17,34,0.5
chubin/wttr.in,2015-12-26 21:03:43,2608,256,0,2023-02-16 11:56:30,3:00:29.030907,Python,313,538,0.5817843866171004
robertdavidgraham/masscan,2013-07-28 05:35:33,3490,82,11,2023-02-16 14:30:20,0:26:39.030907,C,164,502,0.32669322709163345
rancher/rancher,2014-11-07 20:49:31,3022,7900,933,2023-02-16 13:22:31,1:34:28.030907,Go,28384,30645,0.9262196116821667
redisson/redisson,2014-01-11 14:06:25,3323,321,119,2023-02-16 12:36:08,2:20:51.030907,Java,3974,4300,0.924186046511628
leereilly/games,2012-01-05 19:48:55,4059,192,0,2023-02-16 07:33:00,7:23:59.030907,none,84,253,0.33201581027667987
jellyfin/jellyfin,2018-12-09 06:36:45,1530,3185,62,2023-02-16 14:14:43,0:42:16.030907,C#,3760,4680,0.8034188034188035
necolas/react-native-web,2015-06-09 19:25:38,2808,62,20,2023-02-16 01:07:36,13:49:23.030907,JavaScript,1575,1672,0.9419856459330144
Kr328/ClashForAndroid,2019-11-15 00:13:59,1189,24,90,2023-02-16 14:56:10,0:00:49.030907,Kotlin,876,979,0.8947906026557712
judasn/IntelliJ-IDEA-Tutorial,2015-08-17 15:25:52,2739,40,0,2023-02-16 13:52:09,1:04:50.030907,none,76,77,0.987012987012987
alibaba/Sentinel,2018-04-04 06:37:33,1779,459,22,2023-02-16 08:57:00,5:59:59.030907,Java,1501,2003,0.7493759360958562
google/mediapipe,2019-06-13 19:16:41,1343,30,41,2023-02-16 14:34:54,0:22:05.030907,C++,3427,3845,0.8912873862158648
dracula/dracula-theme,2013-10-27 12:39:02,3399,84,24,2023-02-16 10:27:09,4:29:50.030907,none,557,595,0.9361344537815126
ruanyf/es6tutorial,2014-04-20 13:06:28,3224,366,0,2023-02-16 12:06:17,2:50:42.030907,JavaScript,548,548,1.0
dapr/dapr,2019-06-19 00:49:06,1338,2538,151,2023-02-16 11:20:46,3:36:13.030907,Go,2353,2686,0.87602382725242
logseq/logseq,2020-05-23 00:06:06,999,2154,116,2023-02-16 14:53:34,0:03:25.030907,Clojure,4347,5783,0.7516859761369531
MustangYM/WeChatExtension-ForMac,2019-04-25 03:02:16,1393,45,48,2023-02-16 10:36:14,4:20:45.030907,Objective-C,848,1658,0.51145958986731
Meituan-Dianping/mpvue,2018-03-07 03:09:25,1807,64,19,2023-02-16 14:34:52,0:22:07.030907,JavaScript,1264,1687,0.7492590397154713
google/ExoPlayer,2014-06-13 21:19:18,3169,542,21,2023-02-16 14:35:57,0:21:02.030907,Java,9057,9772,0.9268317642243143
js-cookie/js-cookie,2015-03-19 15:57:47,2890,69,34,2023-02-16 08:26:53,6:30:06.030907,JavaScript,523,524,0.9980916030534351
JohnCoates/Aerial,2015-10-26 21:21:31,2669,217,190,2023-02-16 12:06:07,2:50:52.030907,Swift,928,986,0.9411764705882353
refined-github/refined-github,2016-02-15 16:45:02,2557,2517,101,2023-02-16 11:26:48,3:30:11.030907,TypeScript,3189,3308,0.9640266021765417
jhipster/generator-jhipster,2013-10-21 20:07:22,3404,12450,25,2023-02-16 11:43:07,3:13:52.030907,TypeScript,6977,7235,0.9643400138217001
WeNeedHome/SummaryOfLoanSuspension,2022-07-12 16:33:25,218,279,0,2023-02-16 09:04:02,5:52:57.030907,HTML,0,0,0
shieldfy/API-Security-Checklist,2017-07-08 20:01:38,2048,111,0,2023-02-16 14:58:01,"-1 day, 23:58:58.030907",none,28,39,0.717948717948718
camsong/You-Dont-Need-jQuery,2015-11-21 16:02:26,2643,165,1,2023-02-16 12:59:38,1:57:21.030907,JavaScript,66,68,0.9705882352941176
jenkinsci/jenkins,2010-11-22 21:21:23,4468,5776,239,2023-02-16 07:30:04,7:26:55.030907,Java,0,0,0
aseprite/aseprite,2014-08-19 23:44:50,3102,168,85,2023-02-16 12:55:04,2:01:55.030907,C++,1885,3189,0.5910943869551584
bazelbuild/bazel,2014-06-12 16:00:38,3170,389,191,2023-02-16 13:01:48,1:55:11.030907,Java,8662,10811,0.8012209786328739
rxhanson/Rectangle,2019-06-21 21:34:53,1335,181,69,2023-02-16 14:45:10,0:11:49.030907,Swift,413,473,0.8731501057082452
ChristosChristofidis/awesome-deep-learning,2015-01-02 19:28:35,2966,165,0,2023-02-16 13:15:26,1:41:33.030907,none,14,18,0.7777777777777778
directus/directus,2012-12-12 01:35:36,3718,5130,249,2023-02-16 13:41:54,1:15:05.030907,TypeScript,5774,5961,0.968629424593189
apache/mxnet,2015-04-30 16:21:15,2848,8836,34,2023-02-16 12:20:21,2:36:38.030907,C++,7758,9547,0.8126112915051849
gchq/CyberChef,2016-11-28 10:34:07,2271,375,420,2023-02-16 12:01:40,2:55:19.030907,JavaScript,507,747,0.678714859437751
petkaantonov/bluebird,2013-09-07 19:39:57,3448,292,123,2023-02-16 13:43:08,1:13:51.030907,JavaScript,1072,1142,0.9387040280210157
futurice/android-best-practices,2014-07-29 09:09:44,3124,80,0,2023-02-16 12:29:16,2:27:43.030907,none,61,84,0.7261904761904762
kdeldycke/awesome-falsehood,2016-09-08 09:13:47,2352,86,0,2023-02-16 14:28:52,0:28:07.030907,none,23,25,0.92
avajs/ava,2014-11-18 17:20:26,3011,1011,93,2023-02-16 13:29:32,1:27:27.030907,JavaScript,1520,1607,0.9458618543870566
flameshot-org/flameshot,2017-05-10 19:44:51,2107,785,25,2023-02-16 14:45:11,0:11:48.030907,C++,1658,2033,0.8155435317265125
forem/forem,2016-11-13 23:02:13,2285,11831,0,2023-02-16 14:57:54,"-1 day, 23:59:05.030907",Ruby,4553,5086,0.8952025167125442
zhaoolee/ChromeAppHeroes,2019-02-07 06:35:24,1470,7,0,2023-02-16 08:38:56,6:18:03.030907,JavaScript,31,45,0.6888888888888889
iawia002/lux,2018-02-24 11:29:03,1818,253,75,2023-02-16 14:05:38,0:51:21.030907,Go,483,901,0.5360710321864595
SamyPesse/How-to-Make-a-Computer-Operating-System,2013-11-29 17:36:32,3365,42,1,2023-02-16 14:21:20,0:35:39.030907,C,28,72,0.3888888888888889
Seldaek/monolog,2011-02-17 02:07:15,4382,662,64,2023-02-16 08:23:07,6:33:52.030907,PHP,742,761,0.9750328515111695
zloirock/core-js,2013-07-17 16:32:27,3500,219,219,2023-02-16 14:56:56,0:00:03.030907,JavaScript,827,855,0.9672514619883041
alist-org/alist,2020-12-23 17:40:29,784,240,77,2023-02-16 14:56:42,0:00:17.030907,Go,1505,1598,0.94180225281602
winstonjs/winston,2010-12-29 18:49:51,4431,497,17,2023-02-16 11:43:19,3:13:40.030907,JavaScript,958,1372,0.6982507288629738
javascript-tutorial/en.javascript.info,2017-06-03 14:27:57,2084,1897,0,2023-02-16 14:55:06,0:01:53.030907,HTML,677,775,0.8735483870967742
norvig/pytudes,2017-03-01 05:43:35,2178,53,0,2023-02-16 12:49:54,2:07:05.030907,Jupyter Notebook,18,34,0.5294117647058824
PostgREST/postgrest,2014-06-13 00:23:00,3170,869,53,2023-02-16 14:01:49,0:55:10.030907,Haskell,1219,1392,0.8757183908045977
go-micro/go-micro,2015-01-13 23:30:18,2955,1343,318,2023-02-16 11:27:22,3:29:37.030907,Go,882,944,0.934322033898305
vnpy/vnpy,2015-03-02 03:36:58,2908,996,54,2023-02-16 14:13:30,0:43:29.030907,Python,1943,1950,0.9964102564102564
BradLarson/GPUImage,2012-02-13 15:20:02,4020,241,3,2023-02-14 01:33:36,"2 days, 13:23:23.030907",Objective-C,1310,2215,0.5914221218961625
ai/nanoid,2017-08-05 05:24:35,2021,164,1,2023-02-16 11:38:42,3:18:17.030907,JavaScript,197,201,0.9800995024875622
eligrey/FileSaver.js,2011-07-15 03:27:54,4234,67,14,2023-02-16 12:07:50,2:49:09.030907,JavaScript,465,619,0.7512116316639742
benweet/stackedit,2013-03-24 13:46:06,3616,35,13,2023-02-16 08:27:40,6:29:19.030907,JavaScript,1003,1656,0.6056763285024155
parse-community/parse-server,2016-01-28 18:29:14,2575,3180,234,2023-02-16 11:13:36,3:43:23.030907,JavaScript,4000,4290,0.9324009324009324
go-delve/delve,2014-05-20 19:24:43,3193,1413,23,2023-02-16 14:22:50,0:34:09.030907,Go,1394,1499,0.9299533022014677
osquery/osquery,2014-07-29 20:27:33,3123,4072,122,2023-02-16 11:24:47,3:32:12.030907,C++,2569,3101,0.8284424379232506
ReactiveCocoa/ReactiveCocoa,2012-03-02 22:11:24,4002,1348,83,2023-02-16 08:41:39,6:15:20.030907,Swift,2002,2004,0.999001996007984
ziglang/zig,2015-08-06 00:51:28,2751,5328,14,2023-02-16 14:50:21,0:06:38.030907,Zig,5884,7944,0.7406847935548841
enzymejs/enzyme,2015-11-10 21:45:38,2654,646,0,2023-02-16 01:50:56,13:06:03.030907,JavaScript,1508,1765,0.8543909348441926
go-kratos/kratos,2019-01-10 10:42:31,1498,1176,57,2023-02-16 11:53:49,3:03:10.030907,Go,861,955,0.9015706806282723
ruby/ruby,2010-02-27 15:55:23,4736,3793,4,2023-02-16 14:04:48,0:52:11.030907,Ruby,0,0,0
drduh/macOS-Security-and-Privacy-Guide,2015-08-31 03:36:35,2726,140,0,2023-02-16 13:12:27,1:44:32.030907,Python,235,248,0.9475806451612904
changkun/modern-cpp-tutorial,2016-08-19 14:39:15,2372,103,3,2023-02-16 14:39:16,0:17:43.030907,C++,107,112,0.9553571428571429
google/flatbuffers,2014-05-19 18:33:01,3194,1700,31,2023-02-16 12:30:28,2:26:31.030907,C++,1988,2150,0.9246511627906977
vadimdemedes/ink,2017-06-12 06:12:28,2075,169,43,2023-02-16 14:42:31,0:14:28.030907,TypeScript,219,290,0.7551724137931034
requarks/wiki,2016-08-16 19:35:26,2374,346,111,2023-02-16 12:15:21,2:41:38.030907,Vue,2406,2461,0.9776513612352702
zadam/trilium,2017-05-23 00:30:20,2095,152,257,2023-02-16 14:55:29,0:01:30.030907,JavaScript,2039,2736,0.7452485380116959
jumpserver/jumpserver,2014-07-04 03:54:59,3149,4278,154,2023-02-16 11:36:54,3:20:05.030907,Python,4518,4614,0.9791937581274383
SergioBenitez/Rocket,2016-03-18 02:50:18,2526,14,53,2023-02-16 14:44:25,0:12:34.030907,Rust,1305,1409,0.9261887863733144
Homebrew/homebrew-cask,2012-03-05 02:05:17,4000,104086,81,2023-02-16 14:58:29,"-1 day, 23:58:30.030907",Ruby,6151,6166,0.9975673045734674
ReactiveX/RxAndroid,2014-08-19 03:46:38,3103,176,20,2023-02-16 12:28:43,2:28:16.030907,Java,346,347,0.9971181556195965
chalk/chalk,2013-08-03 00:20:12,3484,100,26,2023-02-16 14:27:39,0:29:20.030907,JavaScript,346,349,0.9914040114613181
facebookarchive/pop,2014-03-30 22:29:12,3244,100,3,2023-02-09 13:29:14,"7 days, 1:27:45.030907",Objective-C++,211,256,0.82421875
verekia/js-stack-from-scratch,2016-10-02 13:31:23,2328,55,1,2023-02-16 09:07:36,5:49:23.030907,JavaScript,118,157,0.7515923566878981
urfave/cli,2013-07-13 19:32:06,3504,709,111,2023-02-16 14:47:10,0:09:49.030907,Go,676,714,0.9467787114845938
shimohq/chinese-programmer-wrong-pronunciation,2017-02-15 09:02:40,2192,125,0,2023-02-16 09:53:12,5:03:47.030907,JavaScript,114,228,0.5
derailed/k9s,2019-01-25 18:46:02,1482,324,194,2023-02-16 13:06:07,1:50:52.030907,Go,1022,1374,0.7438136826783115
xi-editor/xi-editor,2016-04-26 23:03:23,2486,669,0,2023-02-16 08:42:59,6:14:00.030907,Rust,397,528,0.7518939393939394
recharts/recharts,2015-08-07 06:50:27,2750,527,18,2023-02-16 14:23:17,0:33:42.030907,TypeScript,2176,2603,0.8359585094122167
FredKSchott/snowpack,2019-02-26 15:45:38,1450,1203,83,2023-02-16 12:52:31,2:04:28.030907,JavaScript,544,881,0.6174801362088536
hapijs/joi,2012-09-16 16:38:06,3804,428,0,2023-02-16 03:22:32,11:34:27.030907,JavaScript,2129,2256,0.9437056737588653
tipsy/profile-summary-for-github,2017-12-10 13:29:15,1894,26,0,2023-02-16 14:54:35,0:02:24.030907,Vue,62,77,0.8051948051948052
pytorch/examples,2016-08-24 03:12:48,2367,359,0,2023-02-16 13:57:46,0:59:13.030907,Python,428,572,0.7482517482517482
jquense/yup,2014-09-22 23:54:22,3068,285,11,2023-02-16 14:14:36,0:42:23.030907,TypeScript,1356,1445,0.9384083044982698
palantir/blueprint,2016-10-25 21:17:50,2304,2478,110,2023-02-16 09:07:50,5:49:09.030907,TypeScript,2225,2855,0.7793345008756567
Reactive-Extensions/RxJS,2012-01-07 00:31:41,4058,520,34,2023-02-15 06:35:29,"1 day, 8:21:30.030907",JavaScript,643,874,0.7356979405034325
SpaceVim/SpaceVim,2016-12-26 04:40:55,2243,2254,21,2023-02-16 14:40:28,0:16:31.030907,Lua,2291,2337,0.9803166452717159
