repository,createdAt,age,pullRequests,releases,updatedAt,daysSinceUpdate,primaryLanguage,closedIssues,totalIssues,issuesRatio
fastai/fastai,2017-09-09 17:43:36,1985,1636,48,2023-02-16 06:54:57,8:02:02.030907,Jupyter Notebook,1566,1694,0.9244391971664699
CymChad/BaseRecyclerViewAdapterHelper,2016-04-10 07:40:11,2503,191,196,2023-02-16 01:50:28,13:06:31.030907,Java,2922,3442,0.8489250435793143
angular/components,2016-01-04 18:50:02,2599,10584,349,2023-02-16 14:47:59,0:09:00.030907,TypeScript,12101,13865,0.8727731698521457
seata/seata,2018-12-28 08:37:22,1511,1658,35,2023-02-16 09:26:20,5:30:39.030907,Java,2436,3048,0.7992125984251969
vuejs/devtools,2014-09-29 03:52:07,3062,259,84,2023-02-16 04:29:24,10:27:35.030907,TypeScript,1097,1515,0.7240924092409241
react-native-elements/react-native-elements,2016-09-08 14:21:41,2352,1180,84,2023-02-16 12:58:14,1:58:45.030907,TypeScript,1978,2024,0.9772727272727273
emscripten-core/emscripten,2011-02-12 05:23:30,4387,8829,0,2023-02-16 08:53:50,6:03:09.030907,C,6777,8013,0.8457506551853239
signalapp/Signal-Android,2011-12-15 20:01:12,4080,238,0,2023-02-16 14:43:34,0:13:25.030907,Java,9806,10041,0.9765959565780301
sampotts/plyr,2015-02-14 11:33:07,2924,379,83,2023-02-16 14:46:26,0:10:33.030907,JavaScript,1180,1954,0.6038894575230297
DIYgod/RSSHub,2018-04-02 14:43:21,1781,6107,226,2023-02-16 14:12:21,0:44:38.030907,JavaScript,3933,4206,0.9350927246790299
mongodb/mongo,2009-01-15 16:15:18,5144,123,0,2023-02-16 14:45:39,0:11:20.030907,C++,0,0,0
ShareX/ShareX,2013-10-08 23:32:10,3417,715,76,2023-02-16 14:46:01,0:10:58.030907,C#,5229,5697,0.9178515007898894
alibaba/flutter-go,2019-01-08 09:03:40,1500,158,4,2023-02-16 07:20:08,7:36:51.030907,Dart,0,0,0
beurtschipper/Depix,2020-12-06 12:39:08,802,14,0,2023-02-16 11:58:41,2:58:18.030907,Python,0,0,0
TheAlgorithms/C-Plus-Plus,2016-07-16 10:19:45,2406,549,0,2023-02-16 13:45:23,1:11:36.030907,C++,226,254,0.889763779527559
eugeneyan/applied-ml,2020-07-04 18:57:47,956,199,0,2023-02-16 14:27:54,0:29:05.030907,none,14,17,0.8235294117647058
nsqio/nsq,2012-05-12 14:37:08,3932,658,30,2023-02-16 09:16:29,5:40:30.030907,Go,570,620,0.9193548387096774
Netflix/Hystrix,2012-11-19 20:14:46,3740,672,79,2023-02-16 10:41:49,4:15:10.030907,Java,681,1022,0.6663405088062623
